"","DateTimeUTC","Lat","Long","lc"
"299",2019-09-18 13:29:00,35.6946,-122.0995,3
"300",2019-09-18 13:44:35,35.6881,-122.1062,3
"301",2019-09-18 14:00:31,35.6916,-122.0981,3
"302",2019-09-18 14:17:37,35.7045,-122.0974,3
"303",2019-09-18 14:19:06,35.7062,-122.0983,3
"304",2019-09-18 14:31:38,35.7077,-122.1024,3
"305",2019-09-18 14:33:20,35.7077,-122.102,3
"306",2019-09-18 14:45:32,35.7077,-122.0986,3
"307",2019-09-18 14:47:16,35.7095,-122.0982,3
"308",2019-09-18 15:00:09,35.7122,-122.1041,3
"309",2019-09-18 15:02:07,35.7124,-122.1063,3
"310",2019-09-18 15:11:29,35.7137,-122.1122,3
"311",2019-09-18 15:13:03,35.7142,-122.1138,3
"312",2019-09-18 15:23:37,35.716,-122.1161,3
"313",2019-09-18 15:25:00,35.7178,-122.1161,3
"314",2019-09-18 15:34:46,35.7201,-122.1166,3
"315",2019-09-18 15:48:10,35.7216,-122.1211,3
"316",2019-09-18 15:50:05,35.7208,-122.1226,3
"317",2019-09-18 16:01:29,35.7198,-122.1171,3
"318",2019-09-18 16:03:05,35.7211,-122.1166,3
"319",2019-09-18 16:12:42,35.7231,-122.1172,3
"320",2019-09-18 16:23:39,35.7216,-122.1155,3
"321",2019-09-18 16:25:06,35.7207,-122.1141,3
"322",2019-09-18 16:35:03,35.7221,-122.1097,3
"323",2019-09-18 16:44:48,35.7232,-122.1094,3
"324",2019-09-18 16:56:20,35.728,-122.1251,3
"325",2019-09-18 16:58:00,35.7286,-122.1277,3
"326",2019-09-18 17:06:51,35.7363,-122.1305,3
"327",2019-09-18 17:18:04,35.7402,-122.1342,3
"328",2019-09-18 17:29:09,35.745,-122.1393,3
"329",2019-09-18 17:31:11,35.7472,-122.1397,3
"330",2019-09-18 17:40:45,35.7472,-122.1399,3
"331",2019-09-18 17:52:16,35.751,-122.1374,3
"332",2019-09-18 17:54:14,35.7527,-122.1382,3
"333",2019-09-18 18:05:13,35.7611,-122.1472,3
"334",2019-09-18 18:07:01,35.7609,-122.1489,3
"335",2019-09-18 18:15:53,35.76,-122.1552,3
"336",2019-09-18 18:26:05,35.763,-122.16,3
"337",2019-09-18 18:37:53,35.7658,-122.1609,3
"338",2019-09-18 18:40:03,35.766,-122.159,3
"339",2019-09-18 18:50:12,35.7674,-122.1512,3
"340",2019-09-18 18:52:19,35.7664,-122.1502,3
"341",2019-09-18 18:59:06,35.7634,-122.1523,3
"342",2019-09-18 19:10:18,35.7601,-122.1626,3
"343",2019-09-18 19:12:01,35.7592,-122.162,3
"344",2019-09-18 19:24:13,35.755,-122.1618,3
"345",2019-09-18 19:26:01,35.7563,-122.1633,3
